colour	fill	y	x	density	scaled	count	n	showSelectedlegendcolourfill	group	ymin	ymax
#00BFC4	#00BFC4	0.030616852718358	41.0958904109589	0.030616852718358	0.54907930257194	44.8230723796761	1464	IN	4	0	0.030616852718358
#619CFF	#619CFF	0.0313753600181293	41.0958904109589	0.0313753600181293	0.519244137118565	20.3626086517659	649	PH	5	0	0.0313753600181293
#F564E3	#F564E3	0.00955982725664361	41.0958904109589	0.00955982725664361	0.15528858266605	83.6771679774016	8753	US	6	0	0.00955982725664361
#F8766D	#F8766D	0.012656623566566	41.1937377690802	0.012656623566566	0.206312013927322	12.3275513538353	974	AU	1	0	0.012656623566566
#B79F00	#B79F00	0.00959777810676025	41.1937377690802	0.00959777810676025	0.151828137225229	8.86834697064647	924	CA	2	0	0.00959777810676025
#00BA38	#00BA38	0.0161799952981774	41.1937377690802	0.0161799952981774	0.24031066127681	24.7715728015096	1531	GB	3	0	0.0161799952981774
#00BFC4	#00BFC4	0.030029177353228	41.1937377690802	0.030029177353228	0.5385399965697	43.9627156451257	1464	IN	4	0	0.030029177353228
#619CFF	#619CFF	0.0303793296001583	41.1937377690802	0.0303793296001583	0.502760407382098	19.7161849105027	649	PH	5	0	0.0303793296001583
#F564E3	#F564E3	0.00924493930669157	41.1937377690802	0.00924493930669157	0.15017358402288	80.9209537514713	8753	US	6	0	0.00924493930669157
#F8766D	#F8766D	0.0121792383271305	41.2915851272016	0.0121792383271305	0.198530293182518	11.8625781306251	974	AU	1	0	0.0121792383271305
#B79F00	#B79F00	0.00934602599542905	41.2915851272016	0.00934602599542905	0.147845647353015	8.63572801977644	924	CA	2	0	0.00934602599542905
#00BA38	#00BA38	0.0155343914307695	41.2915851272016	0.0155343914307695	0.230721938323526	23.7831532805082	1531	GB	3	0	0.0155343914307695
#00BFC4	#00BFC4	0.0294535383215976	41.2915851272016	0.0294535383215976	0.528216548861723	43.1199801028188	1464	IN	4	0	0.0294535383215976
#619CFF	#619CFF	0.0293972094776141	41.2915851272016	0.0293972094776141	0.486506885023069	19.0787889509715	649	PH	5	0	0.0293972094776141
#F564E3	#F564E3	0.00894330791672178	41.2915851272016	0.00894330791672178	0.145273923204904	78.2807741950658	8753	US	6	0	0.00894330791672178
#F8766D	#F8766D	0.0117073966175034	41.3894324853229	0.0117073966175034	0.19083893593735	11.4030043054483	974	AU	1	0	0.0117073966175034
#B79F00	#B79F00	0.00909614779988962	41.3894324853229	0.00909614779988962	0.143892801127571	8.40484056709801	924	CA	2	0	0.00909614779988962
#00BA38	#00BA38	0.014902153837194	41.3894324853229	0.014902153837194	0.221331735706267	22.8151975247441	1531	GB	3	0	0.014902153837194
#00BFC4	#00BFC4	0.0288893053963604	41.3894324853229	0.0288893053963604	0.518097657023714	42.2939431002717	1464	IN	4	0	0.0288893053963604
#619CFF	#619CFF	0.0284302009511897	41.3894324853229	0.0284302009511897	0.470503450876038	18.4512004173221	649	PH	5	0	0.0284302009511897
#F564E3	#F564E3	0.00865332638500692	41.3894324853229	0.00865332638500692	0.140563501159564	75.7425658479655	8753	US	6	0	0.00865332638500692
#F8766D	#F8766D	0.0112416343340452	41.4872798434442	0.0112416343340452	0.183246677685671	10.94935184136	974	AU	1	0	0.0112416343340452
#B79F00	#B79F00	0.0088483060550919	41.4872798434442	0.0088483060550919	0.139972169704264	8.17583479490491	924	CA	2	0	0.0088483060550919
#00BA38	#00BA38	0.0142880875645077	41.4872798434442	0.0142880875645077	0.212211419579002	21.8750620612613	1531	GB	3	0	0.0142880875645077
#00BFC4	#00BFC4	0.0283358376525713	41.4872798434442	0.0283358376525713	0.508171826777499	41.4836663233644	1464	IN	4	0	0.0283358376525713
#619CFF	#619CFF	0.0274826424092812	41.4872798434442	0.0274826424092812	0.45482190277019	17.8362349236235	649	PH	5	0	0.0274826424092812
#F564E3	#F564E3	0.00837302895220739	41.4872798434442	0.00837302895220739	0.136010386349449	73.2891224186713	8753	US	6	0	0.00837302895220739
#F8766D	#F8766D	0.0107829587229538	41.5851272015656	0.0107829587229538	0.175769937260714	10.502601796157	974	AU	1	0	0.0107829587229538
#B79F00	#B79F00	0.00860283438970755	41.5851272015656	0.00860283438970755	0.136089030785828	7.94901897608978	924	CA	2	0	0.00860283438970755
#00BA38	#00BA38	0.0136904667945721	41.5851272015656	0.0136904667945721	0.203335357517836	20.9601046624898	1531	GB	3	0	0.0136904667945721
#00BFC4	#00BFC4	0.0277947113732947	41.5851272015656	0.0277947113732947	0.498467327011904	40.6914574505035	1464	IN	4	0	0.0277947113732947
#619CFF	#619CFF	0.0265550715283709	41.5851272015656	0.0265550715283709	0.439471138941621	17.2342414219127	649	PH	5	0	0.0265550715283709
#F564E3	#F564E3	0.00810021136128701	41.5851272015656	0.00810021136128701	0.131578773111777	70.9011500453452	8753	US	6	0	0.00810021136128701
#F8766D	#F8766D	0.0103332692844045	41.6829745596869	0.0103332692844045	0.168439677873525	10.06460428301	974	AU	1	0	0.0103332692844045
#B79F00	#B79F00	0.00836042356470193	41.6829745596869	0.00836042356470193	0.132254311583691	7.72503137378458	924	CA	2	0	0.00836042356470193
#00BA38	#00BA38	0.0131103450261875	41.6829745596869	0.0131103450261875	0.194719196436673	20.0719382350931	1531	GB	3	0	0.0131103450261875
#00BFC4	#00BFC4	0.0272630538700259	41.6829745596869	0.0272630538700259	0.488932639244113	39.9131108657179	1464	IN	4	0	0.0272630538700259
#619CFF	#619CFF	0.025646084673348	41.6829745596869	0.025646084673348	0.4244279300377	16.6443089530028	649	PH	5	0	0.025646084673348
#F564E3	#F564E3	0.00783256623356102	41.6829745596869	0.00783256623356102	0.127231180689209	68.5584522423596	8753	US	6	0	0.00783256623356102
#F8766D	#F8766D	0.0098916681631156	41.7808219178082	0.0098916681631156	0.161241263841021	9.63448479087459	974	AU	1	0	0.0098916681631156
#B79F00	#B79F00	0.00812078039899628	41.7808219178082	0.00812078039899628	0.128463374239326	7.50360108867256	924	CA	2	0	0.00812078039899628
#00BA38	#00BA38	0.0125486451446366	41.7808219178082	0.0125486451446366	0.186376643334088	19.2119757164386	1531	GB	3	0	0.0125486451446366
#00BFC4	#00BFC4	0.0267398609240405	41.7808219178082	0.0267398609240405	0.47954975392488	39.1471563927953	1464	IN	4	0	0.0267398609240405
#619CFF	#619CFF	0.0247562522615691	41.7808219178082	0.0247562522615691	0.409701716137134	16.0668077177584	649	PH	5	0	0.0247562522615691
#F564E3	#F564E3	0.00756785744918549	41.7808219178082	0.00756785744918549	0.122931285843687	66.2414562527206	8753	US	6	0	0.00756785744918549
#F8766D	#F8766D	0.00945865125810568	41.8786692759296	0.00945865125810568	0.154182778671788	9.21272632539494	974	AU	1	0	0.00945865125810568
#B79F00	#B79F00	0.00788407540114419	41.8786692759296	0.00788407540114419	0.124718916043271	7.28488567065723	924	CA	2	0	0.00788407540114419
#00BA38	#00BA38	0.0120061509325518	41.8786692759296	0.0120061509325518	0.178319339209926	18.3814170777368	1531	GB	3	0	0.0120061509325518
#00BFC4	#00BFC4	0.0262246154061629	41.8786692759296	0.0262246154061629	0.470309396915882	38.3928369546225	1464	IN	4	0	0.0262246154061629
#619CFF	#619CFF	0.0238860421019427	41.8786692759296	0.0238860421019427	0.395300239207915	15.5020413241608	649	PH	5	0	0.0238860421019427
#F564E3	#F564E3	0.00730361650252237	41.8786692759296	0.00730361650252237	0.118638990492729	63.9285552465783	8753	US	6	0	0.00730361650252237
#F8766D	#F8766D	0.00903469234996856	41.9765166340509	0.00903469234996856	0.147271945328269	8.79979034886937	974	AU	1	0	0.00903469234996856
#B79F00	#B79F00	0.00765045679101634	41.9765166340509	0.00765045679101634	0.121023281699331	7.0690220748991	924	CA	2	0	0.00765045679101634
#00BA38	#00BA38	0.011483499198006	41.9765166340509	0.011483499198006	0.170556742149078	17.5812372721472	1531	GB	3	0	0.011483499198006
#00BFC4	#00BFC4	0.0257168386025836	41.9765166340509	0.0257168386025836	0.461202983015788	37.6494517141824	1464	IN	4	0	0.0257168386025836
#619CFF	#619CFF	0.0230379566300179	41.9765166340509	0.0230379566300179	0.381264913117061	14.9516338528816	649	PH	5	0	0.0230379566300179
#F564E3	#F564E3	0.00703819251957445	41.9765166340509	0.00703819251957445	0.114327478055209	61.6052991238352	8753	US	6	0	0.00703819251957445
#F8766D	#F8766D	0.00862024148152625	42.0743639921722	0.00862024148152625	0.140516099830253	8.39611520300657	974	AU	1	0	0.00862024148152625
#B79F00	#B79F00	0.00742004824067805	42.0743639921722	0.00742004824067805	0.117378427587316	6.85612457438652	924	CA	2	0	0.00742004824067805
#00BA38	#00BA38	0.010985453541013	42.0743639921722	0.010985453541013	0.163159602720272	16.8187293712909	1531	GB	3	0	0.010985453541013
#00BFC4	#00BFC4	0.0252168518287447	42.0743639921722	0.0252168518287447	0.452236274660751	36.9174710772822	1464	IN	4	0	0.0252168518287447
#619CFF	#619CFF	0.0222142141600377	42.0743639921722	0.0222142141600377	0.367632449687617	14.4170249898645	649	PH	5	0	0.0222142141600377
#F564E3	#F564E3	0.0067707109325207	42.0743639921722	0.0067707109325207	0.109982542165915	59.2640327923537	8753	US	6	0	0.0067707109325207
#F8766D	#F8766D	0.0082174131057836	42.1722113502935	0.0082174131057836	0.133949709273606	8.00376036503322	974	AU	1	0	0.0082174131057836
#B79F00	#B79F00	0.00719347222199419	42.1722113502935	0.00719347222199419	0.113794200647078	6.64676833312263	924	CA	2	0	0.00719347222199419
#00BA38	#00BA38	0.0105086717578511	42.1722113502935	0.0105086717578511	0.156078281404358	16.08877646127	1531	GB	3	0	0.0105086717578511
#00BFC4	#00BFC4	0.0247244666657916	42.1722113502935	0.0247244666657916	0.443405892767548	36.1966191987189	1464	IN	4	0	0.0247244666657916
#619CFF	#619CFF	0.0214107164455685	42.1722113502935	0.0214107164455685	0.354335025301563	13.895554973174	649	PH	5	0	0.0214107164455685
