fill	x	y	group	xmin	xmax	ymin	ymax
#132C44	33	36	-1	32.5	33.5	35.5	36.5
#132C44	34	36	-1	33.5	34.5	35.5	36.5
#142D45	35	36	-1	34.5	35.5	35.5	36.5
#142D45	36	36	-1	35.5	36.5	35.5	36.5
#142D45	38	36	-1	37.5	38.5	35.5	36.5
#132B43	43	36	-1	42.5	43.5	35.5	36.5
#132B43	24	37	-1	23.5	24.5	36.5	37.5
#132B43	30	37	-1	29.5	30.5	36.5	37.5
#132C44	31	37	-1	30.5	31.5	36.5	37.5
#132C44	32	37	-1	31.5	32.5	36.5	37.5
#142D45	33	37	-1	32.5	33.5	36.5	37.5
#132B43	35	37	-1	34.5	35.5	36.5	37.5
#142D45	36	37	-1	35.5	36.5	36.5	37.5
#132C44	40	37	-1	39.5	40.5	36.5	37.5
#132B43	27	38	-1	26.5	27.5	37.5	38.5
#132C44	30	38	-1	29.5	30.5	37.5	38.5
#132B43	33	38	-1	32.5	33.5	37.5	38.5
#132B43	34	38	-1	33.5	34.5	37.5	38.5
#132B43	35	38	-1	34.5	35.5	37.5	38.5
#132B43	21	39	-1	20.5	21.5	38.5	39.5
#132C44	28	39	-1	27.5	28.5	38.5	39.5
#132B43	30	39	-1	29.5	30.5	38.5	39.5
#132B43	33	40	-1	32.5	33.5	39.5	40.5
#132B43	42	40	-1	41.5	42.5	39.5	40.5
#132B43	42	46	-1	41.5	42.5	45.5	46.5
#132B43	50	50	-1	49.5	50.5	49.5	50.5
#132B43	29	11	-1	28.5	29.5	10.5	11.5
#132B43	35	16	-1	34.5	35.5	15.5	16.5
#132B43	30	20	-1	29.5	30.5	19.5	20.5
#132B43	34	20	-1	33.5	34.5	19.5	20.5
#132B43	28	21	-1	27.5	28.5	20.5	21.5
#132B43	34	21	-1	33.5	34.5	20.5	21.5
#132B43	23	22	-1	22.5	23.5	21.5	22.5
#132B43	28	22	-1	27.5	28.5	21.5	22.5
#132B43	34	22	-1	33.5	34.5	21.5	22.5
#132B43	29	23	-1	28.5	29.5	22.5	23.5
#132B43	31	23	-1	30.5	31.5	22.5	23.5
#132C44	32	23	-1	31.5	32.5	22.5	23.5
#132B43	33	23	-1	32.5	33.5	22.5	23.5
#132B43	24	24	-1	23.5	24.5	23.5	24.5
#132B43	28	24	-1	27.5	28.5	23.5	24.5
#132B43	30	24	-1	29.5	30.5	23.5	24.5
#132C44	31	24	-1	30.5	31.5	23.5	24.5
#132C44	32	24	-1	31.5	32.5	23.5	24.5
#142D45	34	24	-1	33.5	34.5	23.5	24.5
#132B43	40	24	-1	39.5	40.5	23.5	24.5
#132B43	24	25	-1	23.5	24.5	24.5	25.5
#132C44	26	25	-1	25.5	26.5	24.5	25.5
#132B43	27	25	-1	26.5	27.5	24.5	25.5
#142D45	29	25	-1	28.5	29.5	24.5	25.5
#142D45	31	25	-1	30.5	31.5	24.5	25.5
#132B43	32	25	-1	31.5	32.5	24.5	25.5
#132B43	33	25	-1	32.5	33.5	24.5	25.5
#142D46	34	25	-1	33.5	34.5	24.5	25.5
#132B43	40	25	-1	39.5	40.5	24.5	25.5
#132B43	22	26	-1	21.5	22.5	25.5	26.5
#132C44	24	26	-1	23.5	24.5	25.5	26.5
#132B43	26	26	-1	25.5	26.5	25.5	26.5
#152E47	28	26	-1	27.5	28.5	25.5	26.5
#142D46	29	26	-1	28.5	29.5	25.5	26.5
#132C44	30	26	-1	29.5	30.5	25.5	26.5
#142D45	31	26	-1	30.5	31.5	25.5	26.5
#142D46	32	26	-1	31.5	32.5	25.5	26.5
#142D46	33	26	-1	32.5	33.5	25.5	26.5
#132C44	34	26	-1	33.5	34.5	25.5	26.5
#142D46	35	26	-1	34.5	35.5	25.5	26.5
